id|title|starring|writer|editor
3644||Adolphe Jean Menjou|Frank Butler|
3645||Daniel John Dyer|<http://uk.imdb.com>|
3646|Cupid in a Dental Parlor|Fred Mace||
3647|Friday after Next|Rickey Smiley|Ice Cube|
3648|Eyes Without a Face|Pierre Brasseur|Pierre Boileau|
3649|The Great Warming|||
3650||Ida James|Hal Seeger|
3651|Little Dorrit|Joan Greenwood|Charles Dickens|
3652||Tommy Steele|David Newhouse|
3653|Far and Away|Thomas Cruise Mapother IV|Bob Dolman   Ron Howard|
3654||Gladys Georgianna Greene|Claude Binyon|
3655|Competition|Charlotte Burton|Theodosia Harris|
3656|The Hills Have Eyes|Frank Theodore Levine|Wes Craven|
3657|KISS Meets the Phantom of the Park|Kiss (band)|Jan Michael Sherman  Don Buday|
3658|The Blue Veil|Rose Joan Blondell|Norman Corwin|
3659||David Alan Grier|Plot (narrative)|
3660|I Love You, I Love You Not|James William Van Der Beek, Jr.|Wendy Kesselman|
3661|The Virginian|Kenneth Harlan|Owen Wister|
3662|Challenger|Kristin Bond|George Englund|
3663|The King of Comedy|Sandra Bernhard|Paul D. Zimmerman|
3664|Kansas Pacific|Sterling Relyea Walter|Daniel B. Ullman|
3665|Joyeux Nou00EBl|Benno F?rmann|Christian Carion|
3666|Angel Face|Mona Freeman|Ben Hecht|Frederic Knudtson
3667|Quigley Down Under|Alan Sidney Patrick Rickman|John Hill (screenwriter/television producer)|
3668|3 Ninjas Kick Back||Sang-ok Shin Mark Saltzman|
3669|Rockers|Leroy Wallace|Ted Bafaloukos|
3670|Dance Dance|Mandakini|Babbar Subhash|
3671|Bang the Drum Slowly|Michael Moriarty|Mark Harris (author)|
3672||Marcia Virginia Hunt|Earl Baldwin|
3673||Gene Raymond|Dan Totheroh|
3674|Bang, Bang, You're Dead|David Paetkau|William Mastrosimone|
3675|Asignatura aprobada|Jes?s Puente|Horacio Valc?rcel|
3676|Frederic Remington: The Truth of Other Days|Ned Thomas Beatty|Tom Neff|
3677||Kamal Haasan||
3678||Yoshiaki Yoza|Makoto Ueda|
3679||Caloy Alde||
3680|Haunted Forest|Sevy Di Cione||
3681||Lee Patterson|Arthur Hailey|
3682|Salaam Namaste|Jugal Hansraj|Siddharth Anand|
3683||Bob Zany||
3684|Throne of Blood|Toshir? Mifune|Shinobu Hashimoto|
3685||E.G. Marshall|Paddy Chayefsky|
3686||Wallace Fitzgerald Beery||
3687|The Concert for Kampuchea|Wings (band)||
3688|Monty Python Live at the Hollywood Bowl|Carol Cleveland|Terence Vance Gilliam|
3689||Ivan Dixon|Michael Roemer Robert M. Young|
3690||Hideo Sakaki|Gatar? Man|
3691|Mystery Mountain|Syd Saylor|William Reaves Eason|
3692|Soylent Green|Leigh Taylor-Young|Stanley R. Greenberg|
3693|Missing in Action|James Hong|John Crowther|
3694||Simo Salminen|Jukka Virtanen|
3695|Malevolence|Samantha Dark Brandon Johnson Heather Magee Richard Glover Courtney Bertolone|Stevan Mena|
3696|The Noon Whistle|Arthur Stanley Jefferson|Stan Laurel|
3697|The Robe|Jean Merilyn Simmons|Gina Kaus|
3698|Serial (film)|Eugene Oliver Edgar Stutenroth|Arthur Hoerl|
3699||Joanna Going|James Ford Robinson|
3700||Jyothika|Gautham Menon|
3701||Ernesto G?mez Cruz|Vicente Le?ero|
3702||Sunil Malhotra|Thomas Mortimer|
3703||Abel Ferrara|Nicholas St. John|
3704|I Now Pronounce You Chuck and Larry|Daniel Edward Aykroyd|Constantine Alexander Payne|
3705||Jason Scott Lee|Gary Scott Thompson|
3706||Nancy Kelly|John Guedel|
3707||William Scott Elam|William Bowers|
3708|Enoch Arden|Lillian Diana Gish|Alfred Tennyson, 1st Baron Tennyson|
3709|Chandni Chowk To China|Deepika Padukone|Sridhar Raghavan (screenplay)|
3710|The Fighting Dude|Henry William George Lupino|Roscoe Arbuckle|
3711|The London Rock and Roll Show|||
3712||Roy Dupuis|William Plumstead|
3713||Sarah Connor (musician)||
3714|Kain XVIII|Aleksandr Demyanenko|Evgeny Shvarts|
3715|Fallen|Donald McNichol Sutherland|Nicholas Kazan|
3716||Julieta Serrano|Pedro Almodu00F3var Caballero|
3717||Lara Dutta|Habib Faisal|
3718|The Phantom of the Opera|Herbert Charles Angelo Kuchacevich ze Schluderpacheru|Anthony Hinds|
3719|La Grande illusion|Dita Parlo|Charles Spaak|
3720|Half Nelson|Anthony Mackie|Anna Boden  Ryan Fleck|
3721|Coming to America|Shari Headley|Eddie Murphy|
3722||Stephanie Zimbalist|Bram Stoker|
3723|Divine Secrets of the Ya-Ya Sisterhood|Sandra Annette Bullock|Mark Andrus|
3724|The Tuxedo|u9673u6E2Fu751F (Chan Kong Sang)|Michael J. Leeson|
3725||Giri babu|Gangaraju Gunnam|
3726||Hugh Williams|Patrick Kirwan|
3727|Duplex|Drew Blyth Barrymore|Larry Doyle (writer)|
3728|Starting Over|Jill Clayburgh|Dan Wakefield|
3729|Seven Samurai|Toshiro Mifune|Shinobu Hashimoto|
3730|Children of Dune|Daniela Amavia|John Harrison (filmmaker)|
3731|My Wife's Relations|Joseph Frank Keaton VI|Joseph Frank Keaton VI|
3732|Friends of God: A Road Trip With Alexandra Pelosi|Joel Osteen|Alexandra Pelosi|
3733|Runaways|Arielle Paul|Brent Bambic|
3734||Jon Sklaroff|Adam Gierasch|
3735||Laurel Goodwin|Edward Anhalt|
3736|Blue Sky|Jessica Phyllis Lange|Jerry Leichtling|
3737|The Big Bad Swim|Paget Brewster|Daniel Schechter|
3738||Jay Underwood|Seth McEvoy|
3739|The Brotherhood of Satan|L. Q. Jones|L. Q. Jones|
3740|List of Sundance Film Festival award winners|Jane Akre|Joel Bakan|
3741||Julie Frances Christie|Murray Watts|
3742|Aladdin||Antoine Galland|
3743||Grey DeLise|John Behneke Mirith J. Colao|
3744|Dark Reel|Tiffany Shepis|Aaron Pope|
3745|||Daniel Lipkowitz|
3746|Buenos Aires, ciudad de ensueu00F1o|Mar?a E. Castro|Jos? A. Ferreyra|
3747||Mammooty|Renjith|
3748|Spring Break '83|Harvey Lee Yeary|Mars Callahan|
3749|Phoney Photos|Arthur Stanley Jefferson|Edwin Frazee|
3750||Wasit Phongsopa||
3751|Modigliani|Andy Garcia|Mick Davis|
3752|Across 110th Street|Antonio Rudolfo Oaxaca Quinn|Wally Ferris (novel) Luther Davis (screenplay)|
3753|||Alexander Sokurov|
3754||Jerzy Stuhr|Jolanta Hartwig|
3755|Maniac Cop|Richard Roundtree|Larry Cohen|
3756||Louis Feinberg|Felix Adler|
3757|Jury Prize (Cannes Film Festival)|Xavier Beauvois|Xavier Beauvois|
3758||Rita Tushingham|George Melly|
3759||Henry Brazeale Walthall|Frank E. Woods|
3760||Abdul Aziz bin Sattar||
3761||Amal Ayouch|Nabil Ayouch|
3762|Bullets Over Broadway|Mary-Louise Parker|Allen Stewart Ku00F6nigsberg|
3763|Alienator|Teagan Clive|Paul Garson|
3764||Mehmood||
3765||Thomas Sean Connery|Lenore J. Coffee (novel) Stanley Mann|
3766||Vijaya Kumaratunga|Tissa Abeysekara|
3767|Double Impact|Geoffrey Lewis (actor)|Story: Sheldon Lettich Jean-Claude Van Damme Steve Meerson Peter Krikes Screenplay: Sheldon Lettich Jean-Claude Van Damme|
3768|The Cowboy Way|Mark Anthony McDermott|Robert C. Thompson|
3769|Stealing Beauty|Jeremy John Irons|Bernardo Bertolucci|
3770|The Demon||Seicho Matsumoto|
3771|Paulo e Virginia||Henri Bernardin de Saint-Pierre|
3772||Madison Stone|Fred Olen Ray|
3773||Thomas Sanders|Russ Bender|
3774||Warren Mercer Oates|Charles Portis|
3775|Cloak & Dagger|Michael Murphy|Cornell Woolrich|
3776||Ashok Kumar||
3777|Muppets from Space|Raymond Liotta|Jerry Juhl|
3778|The Night Flier|Miguel Josu00E9 Ferrer|Jack O'Donnell|
3779|Scooby-Doo and the Cyber Chase|Scott Innes|William Hanna|
3780|Born Into Brothels: Calcutta's Red Light Kids|Shanti Das Puja Mukerjee Avijit Halder Suchitra|Zana Briski Ross Kauffman|
3781|Murphy's I.O.U.|Roscoe Arbuckle||
3782||Lady Jayne Seymour Fonda||
3783||Sridevi||
3784|My House in Umbria|Timothy Leonard Spall|Hugh Whitemore|
3785|Snow Buddies|Molly Helen Shannon|Robert Vince Anna McRoberts|
3786||Egbert Jan Weeber|Pieter Kuijpers|
3787|Murder on the Orient Express|Alfred Molina|Stephen Harrigan|
3788|Bomb the System|Gano Grills|Adam Bhala Lough|
3789||Anthony LaPaglia|Robert Connolly|
3790||Biagio Anthony Gazzara|Howard Sackler|
3791||Dong Jie|Mo Yan|
3792|The Frontier|Patricio Contreras|Ricardo P. Larrain|
3793|Werner Herzog Eats His Shoe|Alice Waters|Werner Stipetiu0107|
3794||Thomas Sean Connery|Michael Crichton|
3795|Amen.|Mathieu Kassovitz|Jean-Claude Grumberg|
3796||Kamal Haasan||
3797|Sky High|Joseph Farrell MacDonald|Lynn Reynolds|
3798||Germain Houde|John Conti|
3799|I Not Stupid|Xiang Yun|Jack Neo|
3800|The Crucible|David Paul Scofield|Arthur Miller|
3801|Poramboku|Navdeep||
3802|Chandini Bar|Atul Kulkarni|Mohan Azaad|
3803|Mannen som ikke kunne le|Wenche Myhre|Many|
3804||Salman Khan|Puri Jagan|
3805|Gangster|Emraan Hashmi|Anurag Basu|
3806|Pink Flamingos|Edith Massey|John Samuel Waters, Jr.|
3807||Sridevi||
3808||Vincent Phillip D'Onofrio||
3809|Howl's Moving Castle|Crispin McDougal Freeman|Diana Wynne Jones|
3810|Count the Votes|Harold Lloyd|H.M. Walker|
3811|Im Juli|Moritz Bleibtreu||
3812||Frank Finlay|Gerald Savory|
3813|Yonggary|Oh Yeong-il Nam Jeong-im|Kim Ki-duk Seo Yun-sung|
3814||Gayatri Joshi|Ashutosh Gowariker|
3815|The Return of the King|William Cann|Romeo Muller|
3816|April Fool's Day|Taylor Quinn Cole|The Butcher Brothers Mikey Wigart|
3817|Some Girls Do|Beba Loncar||
3818|Johnny Mnemonic|Dina Meyer|William Gibson|
3819||Edmund Kellaway||
3820|Big Momma's House|Ella Mitchell|Darryl Quarles Don Rhymer|
3821|Hero at Large|Anne Archer|AJ Carothers|
3822||Jacqueline Scott|Theo Durrant (novel) Robb White|
3823|Half Past Dead|Morris Chestnut|Don Michael Paul|
3824|Romance &amp; Cigarettes|Kate Elizabeth Winslet|John Turturro|
3825|Wing Chun|Yeoh Choo-Kheng|Elsa Tang|
3826||Nassar|Vakkantham Vamsi|
3827|Los ojos dejan huellas|Emma Penella|Carlos Blanco|
3828|Francis|Donald David Dixon Ronald Ou2019Connor|David Stern|
3829|The Train|David Paul Scofield|Rose Valland (book Le front de l'art) Franklin Coen Frank Davis Albert Husson (French version-uncredited)|
3830|Psycho Beach Party|Thomas Ellis Gibson|Charles Busch|
3831|Volga-Volga|Lyubov Orlova||
3832||Kamal Haasan||
3833|Jism|Gulshan Grover|Mahesh Bhatt|
3834|Haasil|Ashutosh Rana|Tigmanshu Dhulia (story & screenplay) Tigmanshu Dhulia (dialogue)|
3835|Hollywood Homicide|Lou Diamond Phillips|Robert Souza|
3836||Henry Herman McKinnies Jr.|Walter Roeber Schmidt|
3837||Sam De Fazio|Mardik Martin|
3838|Negatives|Debbie Ann Rochon||
3839||Mimoun Oa?ssa|Khalid Boudou|
3840||Vimala Raman||
3841|Il Camorrista|Leo Gullotta|Giuseppe Tornatore|
3842|The Hero|Maria Cei?a|Carla Baptista Pierre-Marie Goulet Fernando Vendrell|
3843||William Davis Garwood Jr.||
3844|El fondo del mar|Daniel Hendler|Damiu00E1n Szifru00F3n|
3845|The Crippled Masters|Chen Mu Chuan||
3846|Lepel|||
3847||T N Balakrishna||
3848||William Paxton|Ruth Rose|
3849||Timothy Dowling|Nolan Lebovitz|
3850|Secret Service in Darkest Africa|Lionel Royce|Ronald Davidson|
3851|Yasmin|Archana Kaur Panjabi|Simon Beaufoy|
3852|V for Vendetta|Hugo Wallace Weaving|Alan Moore|
3853|Bolero|Jane Alice Peters|Carey Wilson (writer)|
3854|Box office number-one films of 2003 (USA)|Paul William Walker IV|Derek Haas|
3855||Rosy Samad||
3856|The Lady Vanishes|Cecil Parker|Frank Launder|
3857|The Big Fisherman|Harold Clifford Keel|Howard Estabrook|
3858||Dina Meyer|John Logan (writer)|
3859|Dancing at the Blue Iguana|Daryl Christine Hannah|Michael Radford|
3860||Elio Steiner|Giorgio Simonelli Gennaro Righelli|
3861|Ti piace Hitchcock?|Chiara Conti|Franco Ferrini|
3862||William Davis Garwood Jr.||
3863||Tiffany Bolling|Walter Marks|
3864|Madame X|Dorothy Donnelly|Alexandre Bisson|
3865||Frederick Alan Moranis|James Ferguson (writer)|
3866|West Beirut|Rola Al Amin|Ziad Doueiri|
3867||Fernando Armani||
3868||Nozomu Sasaki||
3869||Aashish Chaudhary|Paritosh Painter (story and screenplay)|
3870|Party Monster|Marilyn Manson (person)|Fenton Bailey Randy Barbato|
3871||Marion Burns|Lloyd Nosler|
3872|Dead Men Don't Wear Plaid|Stephen Glenn Martin|George Gipe|
3873|The Decline of Western Civilization|X (U.S. band)|Penelope Spheeris|
3874|Funny Games|Friedrich Hans Ulrich Mu00FChe|Michael Haneke|
3875|OK Baytong|Phoovarit Phumpuang Jeeranan Manojam|Nonzee Nimibutr|
3876||Dayle Haddon|Charles Matton|
3877|Boundin'||Bud Luckey|
3878|Uncle Buck|Jean Louisa Kelly|John Hughes|
3879||Andrew Seeley||
3880|Stone of Destiny|Charlie Cox|Charles Martin Smith|
3881|C?sar Award for Best Film|Arthur John Gielgud|David Mercer|
3882|Drawing Flies|Carmen Llywelyn|Matthew Gissing|
3883||Leslie Howard (actor)|Robert Sherwood|
3884|Vera Cruz|Denise Darcel|Roland Kibbee|
3885||Balraj Dutt|Humayun Mirza|
3886||Phillip Rhee|Phillip Rhee|
3887||Eli Wallach|Geoffrey C. Ward|
3888|L'emploi du temps|Aur?lien Recoing|Laurent Cantet|
3889|The Lucky Dog|Jack Lloyd||
3890||Allen Zwolle   Sean Anders   Shelly Frasier   Chuck LeVinus   John Morris|Sean Anders   Chuck LeVinus   John Morris|
3891||Gordon Merrill Werschkul||
3892|The Adventures of Rocky and Bullwinkle|Keith Scott (Australia)|Jay Ward|
3893|Starsky & Hutch|Benjamin Edward Stiller|Scot Armstrong|
3894|Chopping Mall|John Terlesky|Steve Mitchell|
3895|Khakee|Atul Kulkarni|Shridhar Raghavan|
3896|My Family|Edward James Olmos|Gregory Nava|
3897|Husbands and Wives|Juliette Lewis|Allen Stewart Ku00F6nigsberg|
3898|Guarding Tess|Richard Griffiths|Hugh Wilson|
3899|The Great Santini|Michael O'Keefe|Pat Conroy|
3900|||Kenji Kawai|
3901|Taxi 3|Marion Cotillard|Luc Besson|
3902|Little Darlings|Christina Ann McNichol|Kimi Peck|
3903||Suhasini Rajaram Naidu||
3904|The Scarlet Letter|Lillian Diana Gish|Nathaniel Hawthorne|
3905|Sukob|Boots Anson-Roa||
3906|God of Gamblers Returns|Tony Leung Ka-Fai|Wong Jing|
3907||Walter Brandi|Roberto Natale|
3908|Robot Jox|Anne-Marie Johnson|Joe Haldeman|
3909||Niels Vu00F8rsel Lars von Trier|Niels V?rsel|
3910|Dark Intruder|Judi Meredith|Barr? Lyndon|
3911|The Soul of a Man||Wim Wenders|
3912||Ricardo Bauleo|Isaac Aisemberg|
3913|In weiter Ferne, so nah!|Nastassja Aglaia Nakszyu0144ski|Richard Reitinger Wim Wenders Ulrich Zieger|
3914||Tina Blacker|Ira Levin|
3915||James Naughton|Richard Shepard|
3916|What America Needs: From Sea to Shining Sea|||
3917||Billy Herrington||
3918|Academy Award for Best Picture|Louis Jourdan|Alan Jay Lerner|
3919||Rajnikanth||
3920|Sweet November|George Anthony Newley|Herman Raucher|
3921|When Love Forgives|Charles West (actor)|Lula Vollmer|
3922|Twin Towers|||
3923|Eijanaika|Ken Ogata|Hisashi Yamauchi|
3924|Dracula AD 1972|Christopher Frank Carandini Lee|Don Houghton|
3925|||Sufyan Omeish  Abdallah Omeish|
3926||Patricia Colleen Nelligan|Pat Conroy|
3927||Mahmoud el-Meliguy|Ali El Zorkani|
3928|Hair High|Matt Groening|Bill Plympton|
3929|Astu00E9rix aux jeux olympiques||Gu00E9rard Lauzier|
3930||Matthew Steven LeBlanc|David Schneider (writer)|
3931||Sharon Lewis|Ruth Handler|
3932||Francisco James Muu00F1iz IV|Harald Zwart|
3933|Runaway|Gene Simmons|Michael Crichton|
3934||Asha Parekh|Sachin Bhowmick|
3935|Kingpin|Lin Shaye|Mort Nathan|
3936||Burt Bulos|Chris Chan Lee|
3937||Vivian Vaughan||
3938|Pirates of the Caribbean: Dead Man's Chest|Jack Davenport|Stuart Beattie|
3939||John Ott (actor)||
3940|The Boys in Company C|Andrew Stevens|Sidney J. Furie|
3941||Louise Fletcher|Calder Willingham|
3942|Deewana|Shahrukh Khan||
3943|The King of Jazz|Laura La Plant|Harry Ruskin|
3944|Witchfinder General|Vincent Leonard Price, Jr.|Michael Reeves Tom Baker|
3945||David Brian|Bernard Girard|
3946|Day of Wrath|Thorkild Roose||
3947||Kaspar Jancis|T?nu Karro|
3948|The Magic Flute|Silvia Moi|Emanuel Schikaneder|
3949|Employee of the Month|Dane Cook|Greg Coolidge|
3950||Kelsey Danae Lewis|Anna Sandor|
3951|Taxi 2|Marion Cotillard|Luc Besson|
3952|The Blind Goddess|Ward Crane|Louis D. Lighton|
3953|Aakhari Poratam|Suhasini|K. Raghavendra Rao|
3954|The Lookout|Bruce McGill|Scott Frank|
3955|White Room|Patricia Colleen Nelligan|Patricia Rozema|
3956||Ilyena Vasilievna Mironov|Jim Ede|
3957|Queens Logic|Linda Fiorentino|Tony Spiridakis Joseph W. Savino|
3958|Elephant||Bernard MacLaverty|
3959|The General|Joseph Frank Keaton VI|Joseph Frank Keaton VI|
3960|The Cable Guy|Diane Carol Baker|Lou Holtz Jr.|
3961|Luke's Fatal Flivver|Harold Lloyd||
3962|"Snake in the Eagle's Shadow (""Se ying diu sau"")"|u9673u6E2Fu751F (Chan Kong Sang)|Choi Gai-gwong|
3963|A Streetcar Named Desire|Vivian Mary Hartley|A Streetcar Named Desire (play)|
3964|Editing Night of the Day of the Dawn of the Son of the Bride of the Return of the Revenge of the Terror of the Attack of the Evil, Mutant, Alien, Flesh Eating, Hellbound, Zombified Living Dead Part 2: In Shocking 2-D|James Riffel|James Riffel|
3965|The Deadly Mantis|Craig Stevens William Hopper|William Alland, Martin Berkeley|
3966||Cynthia Plaster Caster||
3967|Fido|Billy Connolly|Robert Chomiak Andrew Currie Dennis Heaton|
3968|Ishtar|Henry Warren Beaty|Elaine Berlin|
3969|Shag|Scott Coffey|Lanier Laney|
3970|The Muppet Christmas Carol|Jerry Nelson|Jerry Juhl|
3971|The Silent Enemy|Zvi Mosheh (Hirsh) Skikne|Marshall Pugh|
3972||Geraldine James|Adrian Hodges|
3973|Olympia|Carmen Nogales|Howard Rodman|
3974||Fat Joe|Andrew Markell|
3975|Fantasma, O|Ricardo Meneses|Alexandre Melo|
3976|A 44-Calibre Mystery|Henry DeWitt Carey II|T. Shelley Sutton Charles J. Wilson|
3977||Vikram Singh (actor)||
3978|Sweethearts|Nelson Eddy|Alan Campbell|
3979||Ethan Green Hawke|Claude Stanush|
3980|Monsieur Verdoux|Charles Chaplin|George Orson Welles|
3981||Juan Carlos Thorry|Manuel Romero|
3982|Hana to hebi|Naomi Tani|Oniroku Dan|
3983||Ted ?str?m|Bo Jonsson (producer)|
3984||Joseph Timothy Thomerson|Charles Band|
3985||Gale Page|Robert Buckner|
3986||Sharmila Tagore|Akhtar-Ul-Iman (dialogue) Akhtar Mirza (story)|
3987|Watchers 3|Daryl Keith Roach|Dean R. Koontz|
3988|Witchcraft|Anat Topol|Jody Savin|
3989|Lost in Beijing|u8303u51B0u51B0|Li Yu (director)|
3990|WUSA|Joanne Gignilliat Trimmier Woodward|Robert Stone|
3991|Spooked|Clifford Vivian Devon Curtis|Geoff Murphy|
3992|Codename: Kids Next Door episode|Rachael MacFarlane|Mo Willems|
3993|Mabel and Fatty Viewing the World's Fair at San Francisco|Roscoe Arbuckle||
3994||Caryn Elaine Johnson|Robert Harling (writer)|
3995|Robin Hood: Prince of Thieves|Mary Elizabeth Mastrantonio|Pen Densham|
3996||Taegu Andy Kang|So Yong Kim|
3997||Richard Wattis|William Spier|
3998||Sridevi||
3999||Jatin Khanna||
4000||Danny Denzongpa|Sachin Bhowmick|
4001|Spider-Man 2|Tobias Vincent Maguire|David Koepp|
4002|The End of the Affair|Ralph Nathaniel Twisleton-Wykeham Fiennes|Graham Greene|
4003||Shammi Kapoor|Aga Jani Kashmiri|
4004||Nils Brandt|Henning Bahs|
4005||Clarice Taylor||
4006|Rasputin, the Mad Monk|Richard Edward Pasco|Anthony Hinds|
4007|Beowulf|Angelina Jolie Voight|"Roger d'Avary (dropped ""d'"" in 1992)"|
4008||Koumba Diakite|Mohamed Camara|
4009|No End in Sight|Campbell Scott||
4010||Jos? Mar?a Guti?rrez|Carlos A. Petit|
4011||John C. McGinley|Andrew Kevin Walker|
4012|Fake|Leo Putt|Joon Bum Ahn Siwaporn Pongsuwan Thanakorn Pongsuwan|
4013||Thomas Jeffrey Hanks|David Isaacs|
4014|The Ambassador|Roy Harold Scherer, Jr.||
4015|Vidocq|Gu00E9rard Xavier Marcel Depardieu||
4016|The Kill-Off|Cathy Haase|Maggie Greenwald|
4017|Lung fu moon|Donnie Yen||
4018|White Elephant: The Battle of the African Ghosts|Peter Firth|Ashley Pharoah|
4019|The Beast Must Die||James Blish|
4020|Cohen and Tate|Harley Cross|Eric Red|
4021||Warly Ceriani|Arturo S. Mom|
4022||Eleanor Geisman|Armand Deutsch|
4023|The Bulldog Breed|Norman Wisdom|Henry Blyth|
4024|Nora's Hair Salon|Jenifer Jeanette Lewis|Chanel Capra Jean-Claude La Marre|
4025||Sripriya||
4026|||Aleksandr Mi?on|
4027||Ralph Morgan|Lawrence Williams|
4028|Duets|Andre Braugher|John Byrum|
4029||Jyothika|Crazy Mohan|
4030|A Dog's Life|Edna Purviance|Charles Chaplin|
4031|Beer League|Cara Buono|Artie Lange|
4032|Ju Dou|Wei Li|Liu Heng|
4033|Eyes Wide Shut|Thomas Cruise Mapother IV|Stanley Kubrick|
4034||Urmila Matondkar||
4035||Carmencristina Moreno|Matt Hannon|
4036|Love Crazy|Gail Patrick|David Hertz|
4037|El Dorado|Marion Robert Morrison|Leigh Brackett|
4038|Nineteen Eighty-Four|Richard Walter Jenkins Jr.|George Orwell|
4039|Vampyr|Nicolas de Gunzburg|Sheridan Le Fanu|
4040|Amy|Barry Foster Newman|Noreen Stone|
4041||Jonathan Silverman|Adam Rifkin|
4042||Frank Ripploh Bernd Broaderup|Frank Ripploh|
4043|Spider-Man movies|Tobias Vincent Maguire|Alvin Sargent|
4044|||Yaky Yosha|
4045|La Paura|Mathias Wieman|Franz von Treuberg|
4046|A Troll in Central Park|Tawny Sunshine Glover|Stu Krieger|
4047|A Gasoline Wedding|Harold Lloyd|H.M. Walker|
4048|||Huang Feng|
4049|The Mighty McGurk|Robert Dean Stockwell|Harry Clork Grant Garett William R. Lipman|
4050||Gregory Ley Stan Mcreynolds Evan Riffe Parker Cagle-Smith Arin Baun Erin Ray Micah Buchele-Collins|Andrew Gingerich|
4051|Georgy Girl|Lynn Redgrave|Margaret Forster|
4052||Jayapradha|K. Bhagyaraja|
4053|Curses!|Alfred St. John|Roscoe Arbuckle|
4054|The Mighty Quinn|Norman Lugard Beaton|Hampton Fancher|
4055|The Captive Heart|Rachel Kempson|Angus MacPhail|
4056|Popeye|Robin McLaurim Williams|E.C. Segar|
